user_id,failed_logins,login_hour,new_devices,downloads_per_day,external_shares,sensitive_file_access,privilege_requests,label
USER_00182,3,2,1,409,6,13,1,1
USER_00183,0,7,1,10,1,6,1,0
USER_00184,1,8,0,42,0,4,1,0
USER_00185,7,2,0,159,4,8,0,1
USER_00186,1,10,1,14,1,4,0,0
USER_00187,2,9,0,26,0,6,0,0
USER_00188,2,13,0,17,0,3,0,0
USER_00189,4,3,4,45,2,8,0,1
USER_00190,3,11,0,22,0,2,0,0
USER_00191,6,21,0,474,5,14,0,1
USER_00192,1,16,0,53,2,1,0,0
USER_00193,2,14,0,30,0,5,0,0
USER_00194,3,9,3,62,6,7,1,1
USER_00195,1,11,1,53,0,3,0,0
USER_00196,3,14,0,21,1,4,0,0
USER_00197,1,4,0,65,0,3,0,1
USER_00198,4,23,2,48,5,8,3,0
USER_00199,2,9,0,17,2,1,0,0
USER_00200,2,18,0,10,0,1,3,0
USER_00201,6,2,1,47,6,4,1,1
USER_00202,5,4,3,57,7,11,2,1
USER_00203,2,20,0,21,2,2,0,0
USER_00204,2,22,0,34,1,1,0,1
USER_00205,3,13,0,17,0,0,0,0
USER_00206,2,13,0,22,1,5,2,0
USER_00207,0,15,0,26,1,3,1,0
USER_00208,0,15,0,41,1,0,0,0
USER_00209,3,5,2,20,4,6,0,1
USER_00210,0,12,0,46,1,3,0,0
USER_00211,0,10,1,16,0,3,0,0
USER_00212,3,14,1,23,2,2,1,0
USER_00213,2,14,0,20,0,2,0,0
USER_00214,4,7,2,274,5,8,3,0
USER_00215,8,9,3,14,2,8,0,1
USER_00216,8,1,2,83,5,5,1,1
USER_00217,2,19,0,44,1,2,0,0
USER_00218,2,4,0,25,0,3,0,0
USER_00219,4,8,1,21,8,9,0,0
USER_00220,2,19,1,20,1,3,0,0
USER_00221,3,12,0,17,1,3,0,0
USER_00222,0,15,0,23,0,5,0,0
USER_00223,1,13,0,54,0,3,0,0
USER_00224,5,5,2,126,7,10,1,1
USER_00225,3,11,0,59,5,4,0,0
USER_00226,5,4,2,135,6,5,3,1
USER_00227,3,15,0,43,1,4,0,0
USER_00228,3,10,0,15,1,6,0,0
USER_00229,1,13,0,31,2,2,0,0
USER_00230,2,12,1,21,1,3,0,0
USER_00231,3,20,0,33,1,4,0,0
USER_00232,1,17,0,53,0,3,0,0
USER_00233,6,3,0,75,4,9,1,1
USER_00234,2,18,0,16,1,2,0,0
USER_00235,1,0,3,17,7,12,1,1
USER_00236,8,1,2,61,4,8,1,1
USER_00237,1,16,0,30,1,5,0,0
USER_00238,3,6,1,17,6,12,1,1
USER_00239,1,15,0,31,0,4,0,0
USER_00240,2,13,1,39,2,1,0,0
USER_00241,4,2,3,26,7,15,3,1
USER_00242,6,22,2,55,7,7,0,0
USER_00243,5,15,0,26,2,3,0,0
USER_00244,0,9,0,16,1,3,0,0
USER_00245,4,21,1,52,0,2,1,0
USER_00246,13,9,4,307,9,10,1,1
USER_00247,1,11,0,18,0,2,0,0
USER_00248,1,18,1,31,1,2,0,0
USER_00249,1,19,0,19,1,3,0,0
USER_00250,3,14,1,55,4,5,0,0
USER_00251,3,12,1,84,0,4,1,0
USER_00252,2,0,1,118,3,10,1,1
USER_00253,2,9,1,40,0,3,2,0
USER_00254,2,8,0,49,1,2,0,0
USER_00255,1,17,0,18,0,3,0,1
USER_00256,4,5,1,102,3,8,3,1
USER_00257,5,11,1,42,5,8,2,1
USER_00258,2,17,0,16,1,3,0,1
USER_00259,1,12,0,16,0,0,0,0
USER_00260,2,11,0,21,1,1,1,0
USER_00261,1,15,0,24,0,4,0,0
USER_00262,4,22,4,179,5,8,3,1
USER_00263,0,7,1,81,0,3,0,0
USER_00264,3,12,0,28,1,0,1,0
USER_00265,4,7,0,94,2,6,3,0
USER_00266,0,7,0,36,1,5,0,1
USER_00267,0,11,0,18,1,3,0,0
USER_00268,0,13,1,15,2,7,1,0
USER_00269,0,8,1,30,0,2,1,0
USER_00270,2,13,0,10,0,4,0,0
USER_00271,3,13,2,22,2,4,0,0
USER_00272,0,15,0,13,4,1,1,0
USER_00273,1,12,0,32,0,3,0,0
USER_00274,4,15,0,22,0,7,0,0
USER_00275,5,16,0,22,0,5,1,0
USER_00276,0,7,1,11,0,2,0,0
USER_00277,1,19,0,48,0,3,0,0
USER_00278,0,17,1,21,2,2,0,0
USER_00279,2,10,0,610,2,6,4,1
USER_00280,3,9,0,71,8,8,5,1
USER_00281,1,16,0,52,2,2,1,0
USER_00282,3,11,0,20,1,2,0,0
USER_00283,3,9,0,20,1,3,0,1
USER_00284,0,12,0,63,1,3,0,0
USER_00285,1,17,0,15,2,3,1,0
USER_00286,2,18,1,26,2,2,0,0
USER_00287,1,20,0,43,0,2,0,0
USER_00288,1,12,0,27,2,3,0,1
USER_00289,0,12,0,24,2,6,1,0
USER_00290,6,12,1,32,0,4,0,1
USER_00291,6,6,2,888,9,14,1,1
USER_00292,2,11,0,22,3,5,0,0
USER_00293,3,8,0,126,6,14,1,1
USER_00294,2,20,1,45,3,2,1,0
USER_00295,5,4,2,158,8,7,2,1
USER_00296,5,19,3,33,1,9,0,1
USER_00297,6,8,0,91,4,9,0,1
USER_00298,6,11,3,75,2,16,2,1
USER_00299,6,0,2,134,2,6,0,0
USER_00300,3,12,1,14,1,1,0,0
USER_00301,6,8,2,95,2,6,2,0
USER_00302,1,10,0,15,1,2,0,0
USER_00303,2,13,1,20,3,3,0,0
USER_00304,1,12,0,54,1,2,1,0
USER_00305,4,1,2,171,5,3,1,0
USER_00306,1,15,0,77,0,3,0,0
USER_00307,1,11,0,16,2,5,1,0
USER_00308,2,14,1,22,0,2,0,0
USER_00309,2,17,0,9,0,3,0,0
USER_00310,1,7,1,45,0,3,0,0
USER_00311,2,14,0,74,0,4,0,0
USER_00312,1,18,0,13,1,5,0,0
USER_00313,0,14,1,86,0,1,0,0
USER_00314,0,11,0,29,1,0,1,0
USER_00315,4,15,0,41,0,1,0,0
USER_00316,1,11,0,12,2,1,0,0
USER_00317,3,16,0,36,0,2,1,0
USER_00318,1,15,0,52,1,5,0,0
USER_00319,0,20,0,16,0,3,0,0
USER_00320,10,9,0,108,7,16,1,1
USER_00321,5,2,3,33,4,4,2,1
USER_00322,2,12,0,26,1,4,0,1
USER_00323,1,13,0,58,1,4,0,0
USER_00324,0,10,0,25,0,0,0,0
USER_00325,6,7,2,44,6,9,1,0
USER_00326,2,14,0,48,0,8,0,1
USER_00327,2,3,1,48,8,12,4,1
USER_00328,0,16,0,24,2,3,1,0
USER_00329,1,18,0,18,2,3,0,0
USER_00330,3,21,0,20,1,3,0,0
USER_00331,4,9,0,11,4,9,3,0
USER_00332,1,15,0,19,0,3,0,1
USER_00333,1,16,0,8,0,5,0,0
USER_00334,4,2,0,33,4,9,1,1
USER_00335,3,11,1,12,0,4,0,0
USER_00336,1,17,0,15,1,1,0,0
USER_00337,2,10,0,38,1,2,0,0
USER_00338,7,13,0,65,9,9,2,1
USER_00339,2,11,1,32,1,4,3,1
USER_00340,6,22,2,57,7,6,0,1
USER_00341,3,8,1,15,1,3,0,0
USER_00342,7,6,1,184,8,8,2,0
USER_00343,4,21,3,68,4,9,1,0
USER_00344,0,22,2,24,1,3,0,0
USER_00345,10,11,1,89,3,11,2,1
USER_00346,2,13,0,128,3,10,0,1
USER_00347,4,2,2,64,5,13,3,1
USER_00348,2,5,0,75,1,0,0,0
USER_00349,1,14,1,25,2,1,0,1
USER_00350,1,22,0,36,1,1,0,0
USER_00351,4,10,1,62,0,1,0,0
USER_00352,2,19,0,29,0,3,2,0
USER_00353,0,20,1,23,2,2,0,0
USER_00354,1,9,0,12,1,4,0,0
USER_00355,4,7,0,12,1,3,0,0
USER_00356,1,10,1,40,1,4,1,0
USER_00357,3,5,3,64,4,7,2,1
USER_00358,4,22,3,21,5,13,0,1
USER_00359,1,15,2,22,0,3,0,0
USER_00360,1,13,1,17,2,4,1,1
USER_00361,6,1,0,68,6,8,1,1
USER_00362,1,11,0,28,0,0,1,0
USER_00363,4,12,1,18,3,6,0,1
USER_00364,4,13,0,18,1,3,1,0
USER_00365,1,19,0,82,0,0,0,0
USER_00366,3,12,0,52,1,4,0,0
USER_00367,4,3,1,129,4,11,2,1
USER_00368,3,15,0,46,0,5,1,0
USER_00369,1,10,0,19,2,5,0,0
USER_00370,5,18,3,41,9,9,2,1
USER_00371,0,7,2,121,3,9,1,1
USER_00372,2,15,0,6,2,4,0,0
USER_00373,4,12,1,22,0,1,0,0
USER_00374,5,13,1,28,0,2,0,0
USER_00375,2,20,0,17,1,2,0,0
USER_00376,5,14,1,19,1,4,1,0
USER_00377,2,6,1,111,5,6,2,1
USER_00378,0,10,1,22,1,2,0,0
USER_00379,3,17,0,13,0,5,0,1
USER_00380,5,2,1,63,10,11,0,1
USER_00381,3,11,0,13,1,2,0,0
USER_00382,7,18,2,70,10,9,1,1
USER_00383,3,12,2,54,8,13,0,0
USER_00384,2,10,0,12,2,4,0,0
USER_00385,1,12,1,65,1,0,0,0
USER_00386,0,21,2,48,7,9,1,0
USER_00387,11,18,0,34,2,14,4,1
USER_00388,6,23,2,84,2,6,0,0
USER_00389,3,15,0,39,0,5,0,0
USER_00390,5,16,0,59,6,10,1,1
USER_00391,3,13,0,8,3,1,0,0
USER_00392,3,9,0,32,2,1,0,0
USER_00393,3,14,1,59,0,6,1,0
USER_00394,2,15,0,13,0,2,0,0
USER_00395,4,18,0,19,0,0,0,0
USER_00396,3,12,0,14,1,2,0,0
USER_00397,8,19,2,74,2,6,2,1
USER_00398,4,15,1,9,1,4,0,0
USER_00399,1,12,0,30,0,2,0,1
USER_00400,0,15,0,46,0,3,0,0
USER_00401,3,16,0,31,1,7,0,0
USER_00402,3,8,0,99,7,11,0,1
USER_00403,4,21,5,52,3,8,2,1
USER_00404,3,11,0,23,1,1,0,0
USER_00405,2,13,1,47,4,9,1,0
USER_00406,5,19,0,73,3,6,0,1
USER_00407,1,9,0,39,1,1,0,0
USER_00408,3,1,3,72,3,7,2,1
USER_00409,2,9,0,27,0,3,0,0
USER_00410,2,1,0,84,6,7,0,1
USER_00411,2,17,0,104,1,3,0,0
USER_00412,2,7,1,13,1,2,1,1
USER_00413,1,13,0,48,0,4,0,0
USER_00414,5,18,3,44,3,11,1,0
USER_00415,1,13,0,20,1,1,1,0
USER_00416,1,16,0,14,4,2,0,0
USER_00417,3,14,1,62,2,2,0,0
USER_00418,5,2,2,33,4,15,1,1
USER_00419,1,17,0,11,1,1,0,0
USER_00420,3,6,0,200,2,8,0,0
USER_00421,1,13,0,33,1,3,0,0
USER_00422,4,12,1,9,2,3,0,0
USER_00423,1,9,0,42,0,2,0,0
USER_00424,2,15,0,29,3,4,0,1
USER_00425,1,13,0,40,0,2,0,0
USER_00426,3,4,2,188,7,13,2,1
USER_00427,2,20,0,14,0,6,0,0
USER_00428,4,1,0,53,1,11,1,1
USER_00429,2,12,0,24,1,6,1,0
USER_00430,1,12,3,43,5,12,2,1
USER_00431,5,20,3,129,1,7,1,0
USER_00432,5,22,1,13,5,10,1,1
USER_00433,0,14,0,57,0,4,0,0
USER_00434,3,8,1,33,5,12,3,1
USER_00435,4,18,1,33,2,1,1,0
USER_00436,2,16,1,12,2,1,1,0
USER_00437,0,11,0,48,0,1,0,0
USER_00438,0,19,0,9,1,2,0,0
USER_00439,9,11,0,74,6,10,2,1
USER_00440,1,13,0,16,1,2,0,0
USER_00441,5,7,2,29,8,12,1,1
USER_00442,1,15,0,28,0,3,0,0
USER_00443,4,17,3,116,3,8,3,1
USER_00444,0,12,1,33,1,2,2,0
USER_00445,1,10,0,8,1,0,0,0
USER_00446,5,3,0,32,4,9,4,1
USER_00447,4,6,3,82,4,7,1,0
USER_00448,1,18,0,24,0,5,1,0
USER_00449,0,14,0,41,2,7,0,0
USER_00450,1,10,0,40,2,6,0,0
USER_00451,0,5,0,34,0,4,0,0
USER_00452,4,2,1,45,6,12,2,1
USER_00453,2,1,0,63,10,13,0,1
USER_00454,1,17,0,12,0,1,0,0
USER_00455,1,15,1,53,1,3,0,0
USER_00456,3,12,0,117,0,3,0,0
USER_00457,6,9,2,22,6,11,1,0
USER_00458,4,16,0,11,2,6,2,0
USER_00459,8,22,3,83,5,12,0,1
USER_00460,1,17,1,26,1,3,1,0
USER_00461,2,17,0,42,0,4,0,0
USER_00462,2,8,0,12,2,4,1,0
USER_00463,5,5,1,56,7,9,1,1
USER_00464,1,11,0,74,1,5,1,0
USER_00465,0,13,0,22,3,2,0,0
USER_00466,3,14,2,24,1,2,0,0
USER_00467,0,17,0,39,1,6,0,0
USER_00468,3,10,5,106,3,10,2,0
USER_00469,0,16,0,34,1,3,0,0
USER_00470,0,12,0,32,0,4,0,0
USER_00471,1,20,0,16,0,2,0,0
USER_00472,1,11,0,39,2,7,0,0
USER_00473,0,11,0,35,0,2,1,0
USER_00474,0,14,0,40,1,4,2,0
USER_00475,3,17,0,46,0,1,0,0
USER_00476,2,10,0,47,2,4,1,0
USER_00477,0,12,0,34,2,4,0,0
USER_00478,0,12,0,16,2,2,1,0
USER_00479,0,9,0,41,1,5,0,0
USER_00480,2,11,0,49,2,3,0,0
USER_00481,2,11,0,30,0,2,0,0
USER_00482,0,18,0,20,3,1,0,0
USER_00483,1,14,0,33,1,0,0,0
USER_00484,1,11,0,18,3,3,1,1
USER_00485,3,20,1,16,2,2,0,1
USER_00486,1,19,0,27,1,3,0,0
USER_00487,3,19,0,26,0,2,0,0
USER_00488,2,11,0,15,2,5,0,0
USER_00489,1,17,0,36,4,2,0,0
USER_00490,3,21,0,32,0,4,1,0
USER_00491,9,5,4,195,6,10,2,1
USER_00492,1,12,0,36,1,3,0,0
USER_00493,2,11,0,19,1,3,0,1
USER_00494,0,14,0,51,1,4,0,0
USER_00495,6,13,1,265,6,13,1,1
USER_00496,1,13,0,24,1,3,0,0
USER_00497,1,11,0,26,0,3,0,0
USER_00498,3,13,1,26,0,2,1,0
USER_00499,0,17,0,78,0,4,0,0
USER_00500,0,3,1,43,4,3,0,1
USER_00501,7,9,1,40,5,8,1,0
USER_00502,5,11,6,37,7,11,2,1
USER_00503,4,2,1,18,6,8,1,0
USER_00504,1,7,0,11,1,1,0,0
USER_00505,0,15,0,43,0,2,0,0
USER_00506,3,23,1,101,5,11,1,1
USER_00507,0,15,2,13,0,1,0,0
USER_00508,6,4,1,8,6,13,1,1
USER_00509,0,6,0,20,0,3,0,0
USER_00510,2,9,0,43,1,3,1,0
USER_00511,3,12,0,22,4,4,2,0
USER_00512,5,4,2,62,4,10,1,1
USER_00513,2,14,0,35,0,5,0,0
USER_00514,3,19,1,19,1,4,0,0
USER_00515,3,4,0,16,1,1,0,0
USER_00516,5,11,1,40,3,1,0,0
USER_00517,1,12,0,33,2,0,0,0
USER_00518,4,2,3,105,3,6,2,1
USER_00519,2,18,0,41,1,4,1,0
USER_00520,4,0,3,83,8,8,0,1
USER_00521,3,1,1,83,4,7,2,1
USER_00522,1,12,0,15,3,3,2,0
USER_00523,1,15,0,21,1,3,0,0
USER_00524,1,19,0,31,0,5,1,0
USER_00525,2,13,1,11,1,2,1,0
USER_00526,2,18,0,36,1,2,0,1
USER_00527,5,4,0,54,6,6,0,1
USER_00528,2,3,3,127,10,11,3,1
USER_00529,3,0,4,33,4,11,0,1
USER_00530,1,13,0,39,1,4,1,0
USER_00531,1,18,0,40,3,6,0,0
USER_00532,4,7,0,38,4,8,2,1
USER_00533,1,16,0,38,1,0,0,0
USER_00534,3,10,0,56,2,3,2,1
USER_00535,2,10,0,54,0,5,0,0
USER_00536,1,13,0,34,1,2,0,0
USER_00537,0,8,1,50,0,5,0,0
USER_00538,1,9,0,84,0,4,0,0
USER_00539,2,10,2,20,0,5,0,0
USER_00540,10,1,2,56,4,7,1,1
USER_00541,7,3,2,47,6,8,1,1
USER_00542,2,13,0,16,2,4,1,0
USER_00543,0,2,1,79,3,10,2,1
USER_00544,9,6,1,70,3,12,0,0
USER_00545,1,10,0,18,0,1,0,0
USER_00546,0,14,0,14,2,4,0,0
USER_00547,2,12,0,38,0,2,0,0
USER_00548,1,13,0,27,0,0,0,0
USER_00549,6,10,0,68,6,5,3,1
USER_00550,2,14,0,10,1,1,0,1
USER_00551,1,16,0,28,2,2,0,0
USER_00552,1,8,0,20,0,3,0,0
USER_00553,1,11,0,12,1,3,0,0
USER_00554,3,3,0,123,2,12,3,1
USER_00555,4,16,0,33,2,3,0,0
USER_00556,3,21,0,14,0,3,1,0
USER_00557,0,16,2,14,1,1,0,0
USER_00558,2,12,0,14,1,3,0,0
USER_00559,1,14,0,32,2,2,0,0
USER_00560,0,15,0,40,3,6,1,0
USER_00561,0,9,0,7,0,4,1,1
USER_00562,0,13,0,20,3,0,0,0
USER_00563,7,23,0,68,6,10,2,1
USER_00564,3,12,0,197,0,2,1,0
USER_00565,1,12,0,25,2,2,0,0
USER_00566,0,13,1,18,1,1,0,0
USER_00567,6,1,0,44,5,9,2,1
USER_00568,0,10,0,12,0,1,0,0
USER_00569,1,14,0,10,1,3,1,0
USER_00570,0,13,0,38,0,3,0,0
USER_00571,3,13,0,33,0,3,0,0
USER_00572,9,0,1,142,3,8,5,1
USER_00573,2,13,1,35,0,2,0,0
USER_00574,3,3,3,110,1,7,1,0
USER_00575,3,4,1,52,7,11,2,1
USER_00576,1,19,0,55,2,1,0,0
USER_00577,8,0,1,38,4,6,4,1
USER_00578,4,15,0,29,2,5,0,0
USER_00579,4,3,2,148,5,6,2,1
USER_00580,1,10,0,43,1,4,0,0
USER_00581,0,13,1,16,0,4,0,0
USER_00582,0,15,1,58,0,4,1,1
USER_00583,1,10,1,21,0,6,1,0
USER_00584,1,17,2,15,1,4,3,1
USER_00585,2,4,0,72,7,4,4,1
USER_00586,3,11,0,15,1,2,0,0
USER_00587,3,16,0,14,0,3,0,0
USER_00588,0,14,0,15,2,6,1,1
USER_00589,0,10,1,116,1,1,0,1
USER_00590,0,8,0,39,1,1,0,0
USER_00591,6,4,2,67,4,8,3,1
USER_00592,0,14,1,42,2,3,0,0
USER_00593,5,20,0,45,1,2,0,0
USER_00594,1,11,0,14,2,5,0,0
USER_00595,3,14,0,20,0,2,1,0
USER_00596,1,9,0,7,0,4,0,0
USER_00597,4,19,3,277,5,9,1,1
USER_00598,0,11,1,8,2,3,0,0
USER_00599,10,11,1,297,11,8,0,1
USER_00600,2,14,0,62,2,4,0,0
USER_00601,2,17,0,42,0,2,0,0
USER_00602,6,6,2,53,5,14,2,1
USER_00603,5,3,3,20,4,11,2,1
USER_00604,5,10,1,48,4,11,1,1
USER_00605,7,2,3,60,11,5,1,1
USER_00606,6,16,0,26,4,11,1,0
USER_00607,4,4,1,375,4,10,0,1
USER_00608,2,17,0,13,0,6,0,0
USER_00609,6,20,1,76,5,5,3,1
USER_00610,1,15,0,35,1,4,1,0
USER_00611,2,15,1,15,0,2,0,0
USER_00612,3,12,0,60,0,5,0,0
USER_00613,3,2,2,87,5,5,0,1
USER_00614,4,23,1,129,4,6,1,1
USER_00615,1,15,1,16,0,2,0,0
USER_00616,3,4,4,178,1,10,1,1
USER_00617,3,7,2,72,3,9,0,1
USER_00618,3,14,0,18,1,5,0,0
USER_00619,2,17,0,17,1,3,0,0
USER_00620,2,14,0,31,0,1,0,0
USER_00621,4,1,3,139,6,12,1,1
USER_00622,0,12,1,20,0,1,0,0
USER_00623,7,23,4,90,5,10,1,1
USER_00624,2,13,0,22,0,4,0,0
USER_00625,5,2,0,122,4,8,0,1
USER_00626,1,12,0,7,1,5,0,0
USER_00627,4,1,2,111,10,6,0,1
USER_00628,1,15,1,25,0,2,0,0
USER_00629,2,15,0,18,0,5,0,0
USER_00630,5,20,1,47,5,11,4,0
USER_00631,7,0,1,151,5,11,1,1
